seller_id,seller_zip_code_prefix,seller_city,seller_state,product_id,product_category_name,order_item_id,shipping_limit_date,freight_value,price
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,ffb64e34a37740dafb6c88f1abd1fa61,esporte_lazer,1,2017-08-25 20:50:19,9.56,106.2
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,325a06bcce0da45b7f4ecf2797dd40e4,esporte_lazer,2,2017-09-05 12:50:19,2.42,10.8
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,f4621f8ad6f54a2e3c408884068be46d,esporte_lazer,1,2017-05-11 16:25:11,15.92,101.7
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,55103cbbe0851d3a303a022cc4140628,malas_acessorios,1,2017-08-17 23:30:18,23.4,199.9
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,1c36a5285f7f3b1ed2637d7c528ce5ff,malas_acessorios,1,2017-11-22 04:30:29,45.09,89.99
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,1c36a5285f7f3b1ed2637d7c528ce5ff,malas_acessorios,1,2017-06-30 02:25:24,22.7,99.9
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,1c36a5285f7f3b1ed2637d7c528ce5ff,malas_acessorios,1,2017-10-09 15:07:16,45.09,89.99
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,1c36a5285f7f3b1ed2637d7c528ce5ff,malas_acessorios,1,2017-09-20 17:55:28,24.94,89.99
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,ef49c266450dd5f0287cc0f4e23d914a,papelaria,1,2017-07-28 13:05:18,12.48,139.9
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,51b10a13b460cebc64e1325e7f228ae8,malas_acessorios,1,2017-08-24 02:12:13,14.09,369.9
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,5073cb7b965df5f1fea32e8728782a8f,malas_acessorios,1,2017-07-06 00:23:32,18.23,139.9
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,7f8bacbe759179781b50331ea609f7f8,malas_acessorios,1,2017-06-07 11:25:17,18.07,329.9
